5,28
5,115
6,319
32,98
34,132
39,174
39,264
39,325
69,275
69,317
98,197
132,257
8,94
9,153
10,153
19,111
22,93
34,164
42,109
43,121
84,89
94,285
95,124
95,279
97,146
97,166
97,345
98,153
98,215
106,144
106,227
106,325
107,116
107,166
107,260
107,329
108,281
108,332
109,310
109,335
110,312
114,343
117,132
121,302
121,303
123,140
126,287
129,305
134,163
134,335
135,318
138,282
140,262
141,164
142,265
149,159
156,307
163,167
164,251
0,9
0,289
4,197
5,108
6,276
6,336
7,15
8,42
9,299
10,30
15,277
18,272
19,27
19,45
22,119
23,69
23,274
23,323
26,161
26,170
27,195
27,276
28,280
29,166
32,132
32,236
32,243
33,250
34,281
36,276
37,176
40,185
42,145
43,218
45,161
48,91
50,248
51,340
53,155
53,241
53,262
54,118
54,238
54,240
54,306
56,175
62,147
65,224
67,225
70,294
71,175
84,167
84,244
