id1,id2,label
249,283,階段
249,284,階段
249,285,階段
249,287,階段
249,289,階段
249,293,階段
249,295,階段
249,296,階段
249,298,階段
249,300,階段
249,302,階段
249,303,階段
249,310,階段
249,321,階段
249,344,階段
249,364,階段
249,377,階段
249,389,階段
249,401,階段
249,413,階段
249,416,階段
249,421,階段
249,422,階段
249,424,階段
249,426,階段
249,428,階段
249,470,階段
249,482,階段
249,483,階段
249,504,階段
264,279,階段
264,280,階段
264,281,階段
264,282,階段
264,283,階段
264,284,階段
264,285,階段
264,287,階段
264,289,階段
264,293,階段
264,295,階段
264,296,階段
264,298,階段
264,300,階段
264,302,階段
264,303,階段
264,310,階段
264,321,階段
264,344,階段
264,364,階段
264,377,階段
264,389,階段
264,401,階段
264,413,階段
264,416,階段
264,421,階段
264,422,階段
264,424,階段
264,426,階段
264,428,階段
264,470,階段
264,482,階段
264,483,階段
264,504,階段
279,280,階段
279,281,階段
279,282,階段
279,283,階段
279,284,階段
279,285,階段
279,287,階段
279,289,階段
279,293,階段
279,295,階段
279,296,階段
279,298,階段
279,300,階段
279,302,階段
279,303,階段
279,310,階段
279,321,階段
279,344,階段
279,364,階段
279,377,階段
279,389,階段
279,401,階段
279,413,階段
279,416,階段
279,421,階段
279,422,階段
279,424,階段
279,426,階段
279,428,階段
279,470,階段
279,482,階段
279,483,階段
279,504,階段
280,281,階段
280,282,階段
280,283,階段
280,284,階段
280,285,階段
280,287,階段
280,289,階段
280,293,階段
280,295,階段
280,296,階段
280,298,階段
280,300,階段
280,302,階段
280,303,階段
280,310,階段
280,321,階段
280,344,階段
280,364,階段
280,377,階段
280,389,階段
280,401,階段
280,413,階段
280,416,階段
280,421,階段
280,422,階段
280,424,階段
280,426,階段
280,428,階段
280,470,階段
280,482,階段
280,483,階段
280,504,階段
281,282,階段
281,283,階段
281,284,階段
281,285,階段
281,287,階段
281,289,階段
281,293,階段
281,295,階段
281,296,階段
281,298,階段
281,300,階段
281,302,階段
281,303,階段
281,310,階段
281,321,階段
281,344,階段
281,364,階段
281,377,階段
281,389,階段
281,401,階段
281,413,階段
281,416,階段
281,421,階段
281,422,階段
281,424,階段
281,426,階段
281,428,階段
