base_id,target_id,similarity
66,309,42.40295472480192
66,260,54.62388241773117
66,77,78.50559872161693
66,314,95.5928583741651
66,255,100.98470583793376
66,124,104.10454631611142
66,195,107.20997575849758
66,28,127.48996003415897
66,135,130.45004324898485
66,5,140.53132695882584
66,271,153.14718106263047
66,176,159.14779265092554
66,13,162.85352057838415
66,112,181.77644353297882
66,315,239.53905553637895
195,135,44.699246749554
195,271,57.99536634986592
195,255,67.10594735022465
195,176,71.80546372869507
195,66,83.23329291882023
195,315,90.52691246150273
195,124,124.7123766566114
195,13,128.6671089760965
195,260,141.8533298058582
195,5,144.18697689117053
195,77,149.2998804805668
195,309,157.88745783869606
195,314,174.45250267393644
195,28,183.91841362210363
195,112,230.83978015856698
260,77,38.24615752588489
260,66,54.87572543960815
260,309,85.01744233455383
260,314,87.30044457213165
260,255,138.30002158728755
260,195,148.1985543175611
260,271,151.6386090478964
260,28,154.6530551195497
260,124,154.74539394625685
260,112,164.64719542948717
260,135,178.0860143187415
260,5,181.18933293589185
260,13,212.64672872527512
260,176,212.87426935120047
260,315,253.2266207664252
5,195,22.097212313719876
5,255,33.0632818940081
5,124,35.07659059749539
5,77,61.44031307265447
5,135,80.68242410496669
5,260,90.4625017663662
5,66,112.7420155651527
5,314,118.80980993294091
5,13,138.7677267099865
5,176,156.6864600731962
5,315,172.3334473478951
5,112,179.43377101667517
5,28,180.17839461331016
5,271,189.4698768055324
5,309,281.7619264127898
135,271,27.884543446136696
135,124,50.55434158602392
135,260,67.3469716482532
135,255,74.67838337862443
135,195,81.18115392726897
135,13,114.76150401714244
135,66,116.74502228573873
135,309,136.4399747583909
135,314,140.90106267984785
135,77,153.94059626768563
135,176,158.03427339238795
135,112,206.69233034714847
135,5,265.73709134621436
135,315,271.60790532366445
135,28,281.73821319869904
28,112,65.7305544262061
28,5,118.58170515170755
28,260,134.525118193267
28,77,183.4404579756725
28,124,203.34553058799634
28,195,218.39368690234292
28,255,234.86290629025117
28,314,286.1573113285186
28,135,292.12689211749773
28,315,296.2197491380928
28,66,300.6633811624978
28,176,342.76747602359256
28,13,349.7938272407133
28,271,356.7738485714773
28,309,408.3042458803534
13,28,26.943469121252257
13,195,34.84872451893112
13,271,36.222656477042676
13,5,43.204481834640426
13,135,52.004723987895694
13,255,78.30958366896678
13,66,81.29373781529515
13,315,84.57485139881645
13,260,96.36156642449109
13,314,98.55702575219038
13,77,108.71645054119851
13,176,114.479082418338
13,124,123.04035319939678
13,112,145.293610004536
13,309,237.77063865840927
271,176,58.66756234768583
271,260,69.40474555733691
271,315,70.80118121478952
271,314,86.57103491925106
271,309,95.90744904066354
271,66,100.66873799178072
271,112,109.40368323224978
271,195,113.6273932889322
271,77,116.60030235162311
271,255,135.27315055821273
271,124,143.2778788980921
271,13,144.62506405062845
271,28,160.69150959622903
271,5,182.10696918309185
271,135,186.53841623666403
77,13,9.577391026114835
77,176,33.726563769498895
77,124,44.71780556442051
77,260,67.56850757726112
77,135,79.19947874308171
